(1.07, -0.37)
(1.05, -0.35)
(1.01, -0.35)
(0.98, -0.35)
(0.95, -0.35)
(0.93, -0.36)
(0.9, -0.35)
(0.89, -0.35)
(0.86, -0.35)
(0.82, -0.34)
(0.78, -0.34)
(0.75, -0.33)
(0.73, -0.32)
(0.74, -0.3)
(0.74, -0.28)
(0.73, -0.26)
(0.73, -0.24)
(0.71, -0.21)
(0.7, -0.18)
(0.68, -0.15)
(0.66, -0.12)
(0.66, -0.1)
(0.66, -0.07)
(0.65, -0.04)
(0.65, -0.02)
(0.65, 0.0)
(0.65, 0.03)
(0.65, 0.06)
(0.65, 0.09)
(0.65, 0.11)
(0.64, 0.14)
(0.64, 0.17)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.63, 0.18)
(0.63, 0.18)
(0.63, 0.18)
(0.64, 0.18)
(0.64, 0.18)
(0.64, 0.15)
(0.65, 0.12)
(0.65, 0.09)
(0.66, 0.06)
(0.66, 0.03)
(0.66, 0.01)
(0.66, -0.02)
(0.66, -0.04)
(0.66, -0.07)
(0.66, -0.1)
(0.66, -0.13)
(0.67, -0.15)
(0.67, -0.18)
(0.67, -0.2)
(0.67, -0.23)
(0.69, -0.26)
(0.71, -0.28)
(0.73, -0.31)
(0.76, -0.33)
(0.78, -0.34)
(0.81, -0.34)
(0.84, -0.34)
(0.87, -0.34)
(0.9, -0.35)
(0.91, -0.35)
(0.95, -0.36)
(0.99, -0.36)
(1.03, -0.37)
(1.06, -0.37)
(1.07, -0.39)
(1.08, -0.41)
(1.08, -0.43)
(1.08, -0.44)
(1.09, -0.46)
(1.11, -0.49)
(1.12, -0.52)
(1.14, -0.56)
(1.14, -0.58)
(1.14, -0.61)
(1.14, -0.63)
(1.15, -0.66)
(1.15, -0.68)
(1.15, -0.71)
(1.15, -0.74)
(1.15, -0.76)
(1.15, -0.79)
(1.15, -0.81)
(1.16, -0.84)
(1.16, -0.87)
(1.16, -0.9)
(1.16, -0.92)
(1.16, -0.95)
(1.16, -0.97)
(1.16, -1.0)
(1.16, -1.03)
(-5, -5)
(1.15, -0.78)
(1.15, -0.76)
(1.15, -0.74)
(1.15, -0.71)
(1.15, -0.68)
(1.15, -0.65)
(1.15, -0.63)
(1.15, -0.6)
(1.15, -0.58)
(1.15, -0.55)
(1.15, -0.52)
(1.15, -0.49)
(1.15, -0.47)
(1.14, -0.44)
(1.13, -0.41)
(1.11, -0.39)
(1.08, -0.36)
(1.05, -0.35)
(1.02, -0.34)
(0.99, -0.35)
(0.96, -0.35)
(0.94, -0.35)
(0.91, -0.35)
(0.89, -0.35)
(0.87, -0.34)
(0.83, -0.33)
(0.8, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.33)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.79, -0.32)
(0.77, -0.32)
(0.75, -0.3)
(0.74, -0.29)
(0.73, -0.27)
(0.72, -0.25)
(0.71, -0.23)
(0.69, -0.2)
(0.68, -0.17)
(0.67, -0.15)
(0.66, -0.12)
(0.66, -0.09)
(0.66, -0.07)
(0.66, -0.04)
(0.65, -0.02)
(0.65, 0.01)
(0.65, 0.04)
(0.65, 0.06)
(0.65, 0.09)
(0.65, 0.11)
(0.64, 0.14)
(0.64, 0.17)
(0.63, 0.2)
(0.63, 0.23)
(0.63, 0.26)
(0.64, 0.29)
(0.64, 0.29)
(0.64, 0.29)
(0.65, 0.26)
(0.66, 0.24)
(0.68, 0.22)
(0.67, 0.21)
(0.67, 0.2)
(0.66, 0.18)
(0.66, 0.15)
(0.67, 0.11)
(0.67, 0.08)
(0.67, 0.06)
(0.67, 0.03)
(0.67, 0.0)
(0.67, -0.02)
(0.67, -0.06)
(0.67, -0.08)
(0.67, -0.12)
(0.67, -0.14)
(0.67, -0.17)
(0.67, -0.2)
(0.67, -0.22)
(0.68, -0.25)
(0.69, -0.27)
(0.72, -0.3)
(0.74, -0.32)
(0.77, -0.34)
(0.8, -0.35)
(0.83, -0.35)
(0.86, -0.34)
(0.88, -0.35)
(0.9, -0.35)
(0.92, -0.35)
(0.95, -0.36)
(0.99, -0.37)
(1.02, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.37)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.03, -0.38)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.04, -0.39)
(1.05, -0.39)
(1.06, -0.41)
(1.07, -0.43)
(1.08, -0.45)
(1.08, -0.45)
(1.09, -0.48)
(1.1, -0.5)
(1.12, -0.54)
(1.13, -0.56)
(1.14, -0.59)
(1.14, -0.62)
(1.14, -0.64)
(1.15, -0.67)
(1.15, -0.69)
(1.15, -0.72)
(1.15, -0.75)
(1.15, -0.78)
(1.15, -0.8)
(1.15, -0.83)
(1.15, -0.85)
(1.15, -0.88)
(1.16, -0.91)
(1.16, -0.94)
(1.16, -0.96)
(1.16, -0.99)
(1.16, -1.02)
(1.16, -1.04)
(-5, -5)
(1.15, -0.77)
(1.15, -0.75)
(1.15, -0.72)
(1.15, -0.7)
(1.15, -0.67)
(1.15, -0.64)
(1.15, -0.61)
(1.15, -0.59)
(1.15, -0.56)
(1.15, -0.53)
(1.14, -0.51)
(1.14, -0.48)
(1.13, -0.45)
(1.12, -0.41)
(1.1, -0.39)
(1.07, -0.36)
(1.05, -0.35)
(1.01, -0.35)
(0.98, -0.35)
(0.95, -0.35)
(0.93, -0.35)
(0.91, -0.35)
(0.89, -0.35)
(0.87, -0.35)
(0.83, -0.34)
(0.8, -0.34)
(0.76, -0.34)
(0.75, -0.33)
(0.73, -0.3)
(0.73, -0.29)
(0.71, -0.25)
(0.69, -0.22)
(0.68, -0.19)
(0.67, -0.18)
(0.67, -0.15)
(0.67, -0.13)
(0.66, -0.1)
(0.66, -0.08)
(0.65, -0.05)
(0.65, -0.02)
(0.65, 0.0)
(0.65, 0.03)
(0.65, 0.05)
(0.65, 0.08)
(0.65, 0.11)
(0.64, 0.14)
(0.64, 0.18)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.2)
(0.63, 0.19)
(0.64, 0.16)
(0.65, 0.13)
(0.65, 0.1)
(0.65, 0.07)
(0.66, 0.05)
(0.66, 0.02)
(0.66, -0.01)
(0.66, -0.03)
(0.66, -0.06)
(0.66, -0.09)
(0.66, -0.11)
(0.66, -0.14)
(0.66, -0.17)
(0.67, -0.19)
(0.67, -0.21)
(0.67, -0.24)
(0.68, -0.27)
(0.7, -0.3)
(0.73, -0.32)
(0.75, -0.34)
(0.78, -0.35)
(0.82, -0.34)
(0.84, -0.34)
(0.87, -0.34)
(0.89, -0.35)
(0.91, -0.35)
(0.94, -0.35)
(0.98, -0.36)
(1.02, -0.36)
(1.04, -0.37)
(1.06, -0.39)
(1.07, -0.41)
(1.08, -0.42)
(1.08, -0.43)
(1.09, -0.46)
(1.09, -0.48)
(1.11, -0.52)
(1.12, -0.54)
(1.14, -0.58)
(1.14, -0.6)
(1.14, -0.63)
(1.15, -0.65)
(1.15, -0.68)
(1.15, -0.7)
(1.15, -0.73)
(1.15, -0.76)
(1.16, -0.78)
(1.16, -0.81)
(1.16, -0.83)
(1.16, -0.87)
(1.16, -0.89)
(1.16, -0.92)
(1.16, -0.94)
(1.16, -0.97)
(1.16, -1.0)
(1.16, -1.03)
(-5, -5)
(1.15, -0.79)
(1.15, -0.77)
(1.15, -0.74)
(1.15, -0.71)
(1.15, -0.68)
(1.15, -0.66)
(1.15, -0.63)
(1.15, -0.61)
(1.15, -0.58)
(1.15, -0.55)
(1.15, -0.52)
(1.15, -0.5)
(1.15, -0.47)
(1.13, -0.44)
(1.12, -0.41)
(1.09, -0.38)
(1.07, -0.36)
(1.04, -0.35)
(1.01, -0.35)
(0.98, -0.35)
(0.95, -0.35)
(0.93, -0.35)
(0.91, -0.35)
(0.89, -0.35)
(0.88, -0.35)
(0.83, -0.34)
(0.8, -0.33)
(0.77, -0.32)
(0.76, -0.31)
(0.74, -0.29)
(0.74, -0.28)
(0.73, -0.27)
(0.71, -0.24)
(0.7, -0.21)
(0.68, -0.18)
(0.67, -0.15)
(0.66, -0.13)
(0.66, -0.1)
(0.66, -0.07)
(0.65, -0.05)
(0.65, -0.02)
(0.65, 0.0)
(0.65, 0.03)
(0.65, 0.06)
(0.65, 0.08)
(0.64, 0.11)
(0.64, 0.14)
(0.64, 0.18)
(0.64, 0.21)
(0.64, 0.25)
(0.64, 0.28)
(0.64, 0.3)
(0.64, 0.3)
(0.66, 0.29)
(0.66, 0.27)
(0.67, 0.24)
(0.68, 0.23)
(0.67, 0.2)
(0.67, 0.17)
(0.66, 0.14)
(0.66, 0.1)
(0.66, 0.08)
(0.66, 0.04)
(0.67, 0.02)
(0.67, -0.01)
(0.67, -0.03)
(0.67, -0.06)
(0.66, -0.08)
(0.67, -0.11)
(0.66, -0.14)
(0.66, -0.16)
(0.66, -0.19)
(0.66, -0.22)
(0.68, -0.25)
(0.69, -0.28)
(0.71, -0.31)
(0.74, -0.33)
(0.76, -0.35)
(0.79, -0.35)
(0.83, -0.35)
(0.85, -0.34)
(0.88, -0.35)
(0.9, -0.35)
(0.92, -0.35)
(0.95, -0.36)
(0.99, -0.36)
(1.03, -0.36)
(1.06, -0.38)
(1.07, -0.4)
(1.08, -0.42)
(1.09, -0.44)
(1.1, -0.46)
(1.12, -0.49)
(1.13, -0.51)
(1.14, -0.54)
(1.14, -0.56)
(1.14, -0.59)
(1.14, -0.62)
(1.15, -0.64)
(1.15, -0.67)
(1.15, -0.69)
(1.15, -0.72)
(1.15, -0.75)
(1.15, -0.77)
(1.15, -0.8)
(1.15, -0.83)
(1.16, -0.85)
(1.16, -0.88)
(1.16, -0.91)
(1.16, -0.94)
(1.16, -0.96)
(1.16, -0.99)
(1.16, -1.01)
(1.16, -1.04)
(-5, -5)
(1.15, -0.77)
(1.15, -0.75)
(1.15, -0.72)
(1.15, -0.7)
(1.15, -0.67)
(1.15, -0.64)
(1.15, -0.61)
(1.15, -0.59)
(1.15, -0.56)
(1.15, -0.53)
(1.15, -0.5)
(1.15, -0.48)
(1.15, -0.46)
(1.13, -0.43)
(1.11, -0.4)
(1.09, -0.37)
(1.06, -0.35)
(1.03, -0.35)
(1.01, -0.35)
(0.98, -0.35)
(0.96, -0.35)
(0.93, -0.35)
(0.9, -0.35)
(0.89, -0.35)
(0.86, -0.35)
(0.82, -0.34)
(0.78, -0.34)
(0.75, -0.34)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.74, -0.32)
(0.77, -0.32)
(0.79, -0.32)
(0.8, -0.32)
(0.81, -0.32)
(0.82, -0.32)
(0.82, -0.32)
(0.82, -0.32)
(0.82, -0.32)
(0.82, -0.32)
(0.82, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.83, -0.32)
(0.85, -0.33)
(0.87, -0.34)
(0.9, -0.34)
(0.92, -0.35)
(0.96, -0.35)
(1.0, -0.36)
(1.04, -0.37)
(1.06, -0.38)
(1.07, -0.39)
(1.07, -0.41)
(1.08, -0.42)
(1.08, -0.43)
(1.09, -0.45)
(1.1, -0.48)
(1.11, -0.51)
(1.13, -0.55)
(1.13, -0.57)
(1.14, -0.6)
(1.14, -0.63)
(1.14, -0.65)
(1.14, -0.68)
(1.15, -0.7)
(1.15, -0.73)
(1.15, -0.76)
(1.15, -0.79)
(1.15, -0.81)
(1.15, -0.84)
(1.16, -0.86)
(1.16, -0.89)
(1.16, -0.92)
(1.16, -0.95)
(1.16, -0.97)
(1.16, -0.99)
(1.16, -1.02)
(-5, -5)
(1.15, -0.79)
(1.15, -0.76)
(1.15, -0.74)
(1.15, -0.71)
(1.15, -0.68)
(1.15, -0.65)
(1.15, -0.63)
(1.15, -0.6)
(1.15, -0.58)
(1.15, -0.55)
(1.15, -0.52)
(1.15, -0.49)
(1.15, -0.47)
(1.14, -0.45)
(1.12, -0.42)
(1.1, -0.39)
(1.07, -0.37)
(1.05, -0.35)
(1.01, -0.35)
(0.98, -0.35)
(0.95, -0.35)
(0.93, -0.35)
(0.9, -0.35)
(0.89, -0.35)
(0.85, -0.34)
(0.82, -0.34)
(0.78, -0.33)
(0.75, -0.33)
(0.73, -0.32)
(0.72, -0.28)
(0.71, -0.27)
(0.7, -0.24)
(0.68, -0.22)
(0.67, -0.19)
(0.67, -0.17)
(0.66, -0.14)
(0.66, -0.12)
(0.66, -0.09)
(0.65, -0.06)
(0.65, -0.03)
(0.65, -0.01)
(0.65, 0.01)
(0.65, 0.04)
(0.65, 0.07)
(0.65, 0.1)
(0.65, 0.12)
(0.64, 0.16)
(0.64, 0.19)
(0.64, 0.23)
(0.64, 0.26)
(0.64, 0.28)
(0.65, 0.29)
(0.66, 0.28)
(0.66, 0.27)
(0.66, 0.25)
(0.67, 0.22)
(0.66, 0.19)
(0.66, 0.16)
(0.66, 0.12)
(0.66, 0.09)
(0.66, 0.08)
(0.66, 0.04)
(0.66, 0.02)
(0.67, -0.01)
(0.67, -0.03)
(0.67, -0.06)
(0.67, -0.09)
(0.67, -0.12)
(0.67, -0.14)
(0.67, -0.17)
(0.67, -0.19)
(0.67, -0.22)
(0.67, -0.25)
(0.68, -0.27)
(0.71, -0.3)
(0.73, -0.32)
(0.76, -0.34)
(0.78, -0.35)
(0.82, -0.35)
(0.84, -0.35)
(0.87, -0.35)
(0.89, -0.35)
(0.9, -0.35)
(0.92, -0.35)
(0.94, -0.35)
(0.99, -0.36)
(1.02, -0.36)
(1.04, -0.36)
(1.07, -0.37)
(1.08, -0.39)
(1.08, -0.41)
(1.08, -0.43)
(1.09, -0.44)
(1.1, -0.47)
(1.11, -0.5)
(1.13, -0.54)
(1.14, -0.56)
(1.14, -0.58)
(1.14, -0.61)
(1.15, -0.64)
(1.15, -0.67)
(1.15, -0.69)
(1.15, -0.72)
(1.15, -0.74)
(1.15, -0.77)
(1.15, -0.8)
(1.16, -0.83)
(1.16, -0.85)
(1.16, -0.88)
(1.16, -0.9)
(1.16, -0.93)
(1.16, -0.96)
(1.16, -0.98)
(1.16, -1.01)
(1.16, -1.03)
(-5, -5)
(1.15, -0.78)
(1.15, -0.76)
(1.15, -0.72)
(1.15, -0.7)
(1.15, -0.67)
(1.15, -0.65)
(1.15, -0.62)
(1.15, -0.59)
(1.15, -0.56)
(1.15, -0.54)
(1.14, -0.52)
(1.14, -0.49)
(1.14, -0.47)
(1.12, -0.43)
(1.11, -0.4)
(1.08, -0.37)
(1.06, -0.35)
(1.03, -0.35)
(1.0, -0.35)
(0.97, -0.35)
(0.94, -0.35)
(0.91, -0.35)
(0.9, -0.35)
(0.88, -0.35)
(0.84, -0.34)
(0.8, -0.34)
(0.76, -0.34)
(0.74, -0.33)
(0.72, -0.31)
(0.72, -0.29)
(0.72, -0.28)
(0.72, -0.26)
(0.71, -0.24)
(0.7, -0.21)
(0.68, -0.18)
(0.67, -0.16)
(0.66, -0.13)
(0.66, -0.11)
(0.66, -0.08)
(0.66, -0.05)
(0.65, -0.03)
(0.65, -0.0)
(0.65, 0.02)
(0.65, 0.05)
(0.65, 0.07)
(0.65, 0.1)
(0.64, 0.12)
(0.64, 0.17)
(0.64, 0.2)
(0.64, 0.23)
(0.64, 0.26)
(0.64, 0.3)
(0.64, 0.3)
(0.64, 0.29)
(0.65, 0.28)
(0.65, 0.25)
(0.65, 0.21)
(0.65, 0.18)
(0.65, 0.16)
(0.65, 0.13)
(0.65, 0.09)
(0.66, 0.07)
(0.66, 0.04)
(0.66, 0.02)
(0.66, -0.01)
(0.66, -0.04)
(0.66, -0.06)
(0.67, -0.09)
(0.66, -0.11)
(0.66, -0.14)
(0.67, -0.17)
(0.67, -0.2)
(0.67, -0.21)
(0.67, -0.24)
(0.68, -0.27)
(0.7, -0.3)
(0.72, -0.32)
(0.75, -0.34)
(0.77, -0.35)
(0.8, -0.35)
(0.83, -0.35)
(0.86, -0.35)
(0.89, -0.35)
(0.9, -0.35)
(0.92, -0.35)
(0.94, -0.36)
(0.99, -0.36)
(1.02, -0.36)
(1.06, -0.38)
(1.07, -0.39)
(1.07, -0.4)
(1.08, -0.42)
(1.08, -0.43)
(1.08, -0.45)
(1.09, -0.46)
(1.11, -0.49)
(1.12, -0.52)
(1.14, -0.55)
(1.14, -0.57)
(1.14, -0.6)
(1.15, -0.63)
(1.15, -0.66)
(1.15, -0.68)
(1.15, -0.71)
(1.15, -0.73)
(1.15, -0.76)
(1.15, -0.79)
(1.15, -0.81)
(1.16, -0.84)
(1.16, -0.87)
(1.16, -0.89)
(1.16, -0.92)
(1.16, -0.95)
(1.16, -0.97)
(1.16, -1.0)
(1.16, -1.02)
(-5, -5)
(1.15, -0.78)
(1.15, -0.76)
(1.15, -0.73)
(1.15, -0.71)
(1.15, -0.68)
(1.15, -0.65)
(1.15, -0.63)
(1.15, -0.6)
(1.15, -0.58)
(1.15, -0.55)
(1.15, -0.52)
(1.15, -0.5)
(1.14, -0.46)
(1.13, -0.42)
(1.11, -0.4)
(1.09, -0.37)
(1.06, -0.35)
(1.03, -0.35)
(1.0, -0.35)
(0.97, -0.35)
(0.94, -0.35)
(0.92, -0.35)
(0.9, -0.35)
(0.89, -0.35)
(0.85, -0.34)
(0.82, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
(0.8, -0.33)
