
--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 1) Actions Values: {'up': -34.309, 'down': -3.466, 'left': -32.566, 'right': -9.995} Nr Visits: 258
Pos: (2, 1) Actions Values: {'up': -20.476, 'down': -17.195, 'left': -9.986, 'right': -9.987} Nr Visits: 134
Pos: (3, 1) Actions Values: {'up': -17.195, 'down': -7.721, 'left': -9.657, 'right': -9.722} Nr Visits: 108
Pos: (4, 1) Actions Values: {'up': -23.428, 'down': -9.283, 'left': -9.283, 'right': -9.283} Nr Visits: 81
Pos: (5, 1) Actions Values: {'up': -9.5, 'down': -9.015, 'left': -9.015, 'right': -13.55} Nr Visits: 49
Pos: (6, 1) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (7, 1) Actions Values: {'up': -9.5, 'down': -2.459, 'left': -13.55, 'right': -9.283} Nr Visits: 57
Pos: (8, 1) Actions Values: {'up': -17.195, 'down': 1.559, 'left': -9.722, 'right': -9.775} Nr Visits: 116
Pos: (9, 1) Actions Values: {'up': -28.23, 'down': 17.528, 'left': -9.973, 'right': -9.731} Nr Visits: 237
Pos: (10, 1) Actions Values: {'up': -17.195, 'down': -9.995, 'left': 5.307, 'right': -30.629} Nr Visits: 253
Pos: (1, 2) Actions Values: {'up': -9.949, 'down': 7.427, 'left': -22.971, 'right': -17.195} Nr Visits: 180
Pos: (2, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 2) Actions Values: {'up': -8.147, 'down': 8.518, 'left': -9.5, 'right': -8.147} Nr Visits: 68
Pos: (4, 2) Actions Values: {'up': -8.649, 'down': -17.195, 'left': -8.649, 'right': -8.784} Nr Visits: 62
Pos: (5, 2) Actions Values: {'up': -8.649, 'down': -17.195, 'left': -8.332, 'right': 4.793} Nr Visits: 60
Pos: (6, 2) Actions Values: {'up': -13.55, 'down': 68.481, 'left': -7.712, 'right': 7.413} Nr Visits: 167
Pos: (7, 2) Actions Values: {'up': -8.499, 'down': -8.354, 'left': 55.022, 'right': -5.007} Nr Visits: 179
Pos: (8, 2) Actions Values: {'up': -9.619, 'down': -9.691, 'left': 42.148, 'right': -5.419} Nr Visits: 231
Pos: (9, 2) Actions Values: {'up': -6.499, 'down': -9.903, 'left': 29.712, 'right': -9.913} Nr Visits: 267
Pos: (10, 2) Actions Values: {'up': -9.982, 'down': -9.987, 'left': -1.285, 'right': -30.629} Nr Visits: 202
Pos: (1, 3) Actions Values: {'up': -9.355, 'down': 18.588, 'left': -18.421, 'right': -9.5} Nr Visits: 150
Pos: (2, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 3) Actions Values: {'up': -6.125, 'down': 31.458, 'left': -9.5, 'right': -9.5} Nr Visits: 46
Pos: (4, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (6, 3) Actions Values: {'up': 8.183, 'down': 82.617, 'left': -9.225, 'right': 1.088} Nr Visits: 145
Pos: (7, 3) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (8, 3) Actions Values: {'up': -2.907, 'down': -9.835, 'left': -20.476, 'right': -9.835} Nr Visits: 124
Pos: (9, 3) Actions Values: {'up': -5.881, 'down': -9.903, 'left': -9.903, 'right': -9.913} Nr Visits: 180
Pos: (10, 3) Actions Values: {'up': -9.959, 'down': -9.959, 'left': -9.959, 'right': -26.085} Nr Visits: 163
Pos: (1, 4) Actions Values: {'up': -7.993, 'down': 30.168, 'left': -13.55, 'right': -9.5} Nr Visits: 145
Pos: (2, 4) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (3, 4) Actions Values: {'up': -3.691, 'down': 53.093, 'left': -17.195, 'right': -5.216} Nr Visits: 60
Pos: (4, 4) Actions Values: {'up': -13.55, 'down': 27.804, 'left': -4.685, 'right': -9.5} Nr Visits: 22
Pos: (5, 4) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (6, 4) Actions Values: {'up': 5.947, 'down': 97.496, 'left': 12.372, 'right': 4.262} Nr Visits: 140
Pos: (7, 4) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (8, 4) Actions Values: {'up': -9.88, 'down': -13.55, 'left': -13.55, 'right': -9.88} Nr Visits: 90
Pos: (9, 4) Actions Values: {'up': -9.913, 'down': -13.55, 'left': -9.913, 'right': -9.913} Nr Visits: 138
Pos: (10, 4) Actions Values: {'up': -9.937, 'down': -13.55, 'left': -9.943, 'right': -20.476} Nr Visits: 105
Pos: (1, 5) Actions Values: {'up': -9.203, 'down': -5.066, 'left': -10.417, 'right': 42.296} Nr Visits: 185
Pos: (2, 5) Actions Values: {'up': -8.94, 'down': 4.823, 'left': 9.439, 'right': 55.053} Nr Visits: 262
Pos: (3, 5) Actions Values: {'up': 11.488, 'down': 9.03, 'left': 16.926, 'right': 68.482} Nr Visits: 292
